Camera,Burrow,On,Off
162,319,29-Apr-2013 00:00,29-Apr-2013 00:00
162,319,11-Jun-2013 17:10,13-Jun-2013 10:06
162,319,13-Jun-2013 10:37,15-Jun-2013 11:23
162,75,15-Jun-2013 11:24,27-Jun-2013 05:01
162,75,27-Jun-2013 05:08,01-Jul-2013 08:39
163,80,29-Apr-2013 00:00,12-May-2013 00:00
163,80,14-May-2013 00:00,16-May-2013 00:00
163,80,11-Jun-2013 17:10,13-Jun-2013 10:05
163,80,13-Jun-2013 10:38,26-Jun-2013 19:53
164,314,26-May-2013 16:29,30-May-2013 16:12
164,62,11-Jun-2013 17:10,13-Jun-2013 10:04
164,62,13-Jun-2013 10:37,27-Jun-2013 05:01
164,62,27-Jun-2013 05:08,29-Jun-2013 13:06
165,12,29-Apr-2013 00:00,29-Apr-2013 00:00
165,388,29-May-2013 09:38,30-May-2013 16:01
165,242,11-Jun-2013 17:10,13-Jun-2013 10:06
165,242,13-Jun-2013 10:38,27-Jun-2013 05:06
165,242,27-Jun-2013 05:10,29-Jun-2013 18:45
166,120,29-Apr-2013 00:00,03-May-2013 15:16
166,202,03-May-2013 15:17,12-May-2013 00:00
166,202,14-May-2013 00:00,16-May-2013 00:00
166,202,11-Jun-2013 17:10,13-Jun-2013 10:06
166,202,13-Jun-2013 10:38,15-Jun-2013 11:48
166,379,15-Jun-2013 11:49,27-Jun-2013 05:06
167,215,29-Apr-2013 00:00,12-May-2013 00:00
167,215,14-May-2013 00:00,16-May-2013 00:00
167,279,11-Jun-2013 17:10,13-Jun-2013 10:05
167,279,13-Jun-2013 10:38,18-Jun-2013 04:36
168,224,29-Apr-2013 00:00,09-May-2013 12:06
168,176,09-May-2013 12:08,18-May-2013 10:41
168,326,11-Jun-2013 17:10,13-Jun-2013 10:05
168,326,13-Jun-2013 10:38,15-Jun-2013 05:12
169,86,29-Apr-2013 00:00,12-May-2013 00:00
169,86,14-May-2013 00:00,16-May-2013 00:00
169,222,31-May-2013 09:22,05-Jun-2013 21:02
169,222,11-Jun-2013 08:44,11-Jun-2013 17:01
169,222,11-Jun-2013 17:10,13-Jun-2013 10:04
169,222,13-Jun-2013 10:37,27-Jun-2013 05:06
169,222,27-Jun-2013 05:10,04-Jul-2013 12:03
170,68,29-Apr-2013 00:00,03-May-2013 16:09
170,216,03-May-2013 16:11,12-May-2013 00:00
170,216,14-May-2013 00:00,16-May-2013 00:00
170,68,30-May-2013 16:09,08-Jun-2013 00:30
170,68,11-Jun-2013 08:45,11-Jun-2013 17:05
170,68,11-Jun-2013 17:10,13-Jun-2013 10:04
170,68,13-Jun-2013 10:37,27-Jun-2013 05:01
170,68,27-Jun-2013 05:08,01-Jul-2013 18:46
171,397,29-May-2013 10:16,04-Jun-2013 15:53
171,397,11-Jun-2013 08:45,11-Jun-2013 17:05
171,397,11-Jun-2013 17:10,13-Jun-2013 10:05
171,397,13-Jun-2013 10:38,14-Jun-2013 02:22
172,251,29-Apr-2013 00:00,02-May-2013 15:40
172,251,03-May-2013 07:50,12-May-2013 00:00
172,251,14-May-2013 00:00,18-May-2013 10:25
172,251,29-May-2013 10:24,10-Jun-2013 13:59
172,251,11-Jun-2013 08:44,11-Jun-2013 17:01
172,251,11-Jun-2013 17:10,13-Jun-2013 10:05
172,251,13-Jun-2013 10:38,27-Jun-2013 05:06
173,290,29-Apr-2013 00:00,18-May-2013 10:39
173,91,11-Jun-2013 08:49,11-Jun-2013 17:01
173,91,11-Jun-2013 17:11,13-Jun-2013 10:06
173,91,13-Jun-2013 10:38,21-Jun-2013 17:56
174,91,29-Apr-2013 00:00,03-May-2013 16:08
174,226,11-Jun-2013 17:10,13-Jun-2013 10:05
174,226,13-Jun-2013 10:38,27-Jun-2013 05:06
175,291,11-Jun-2013 17:11,13-Jun-2013 10:06
175,291,13-Jun-2013 10:38,15-Jun-2013 10:59
175,355,15-Jun-2013 10:59,22-Jun-2013 05:15
176,122,03-Jun-2013 12:59,10-Jun-2013 22:00
176,122,11-Jun-2013 08:49,11-Jun-2013 17:01
176,122,11-Jun-2013 17:11,13-Jun-2013 10:06
176,122,13-Jun-2013 10:38,26-Jun-2013 05:04
177,111,29-Apr-2013 00:00,01-May-2013 15:04
177,392,11-Jun-2013 17:10,13-Jun-2013 10:06
177,392,13-Jun-2013 10:38,13-Jun-2013 10:38
178,165,11-Jun-2013 08:49,11-Jun-2013 17:01
178,165,11-Jun-2013 17:11,13-Jun-2013 10:06
